ticket_id,customer_name,issue,status,priority,region,source_method,last_updated
CON-2001,Continental,Seatbelt pre-tensioner pyrotechnic fault,completed,low,Europe,non_api,2026-04-28T14:43:21.481308+00:00
CON-2002,Continental,Park assist ultrasonic sensor failure — rear cluster,pending,high,Asia,non_api,2026-04-28T14:43:21.481362+00:00
CON-2003,Continental,Heated steering wheel relay failure,in_progress,medium,Asia,non_api,2026-04-28T14:43:21.481371+00:00
CON-2004,Continental,Adaptive cruise control radar misalignment,pending,critical,Asia,non_api,2026-04-28T14:43:21.481379+00:00
CON-2005,Continental,Electronic stability control warning light on,pending,medium,Europe,non_api,2026-04-28T14:43:21.481386+00:00
CON-2006,Continental,Door control module unresponsive on driver side,completed,critical,Europe,non_api,2026-04-28T14:43:21.481394+00:00
CON-2007,Continental,Blind spot monitor radar intermittent fault,in_progress,high,Asia,non_api,2026-04-28T14:43:21.481402+00:00
CON-2008,Continental,Start/Stop system disabled — battery voltage low,in_progress,medium,North America,non_api,2026-04-28T14:43:21.481410+00:00
CON-2009,Continental,Wireless charging pad overheating alert,in_progress,low,Asia,non_api,2026-04-28T14:43:21.481414+00:00
CON-2010,Continental,Lane departure warning camera calibration required,in_progress,low,Asia,non_api,2026-04-28T14:43:21.481419+00:00
CON-2011,Continental,Rear-view camera image distortion at low temperature,pending,medium,Europe,non_api,2026-04-28T14:43:21.481423+00:00
CON-2012,Continental,Rain sensor calibration lost after windscreen replacement,pending,high,North America,non_api,2026-04-28T14:43:21.481428+00:00
